prompt,input,output
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 30-year-old male patient presents to the clinician's office with complaints of fever, chills, and sweats that have been ongoing for the past two days. He mentions feeling fatigued and experiencing generalized body aches. The patient describes his fever as coming and going every 48 hours. During the physical examination, the clinician notes that the patient has an elevated temperature of 39°C. The patient also reports a bitter metallic taste in his mouth. ","{'Suspected medical condition': 'UNCOMPLICATED MALARIA', 'Causes': ['Plasmodium falciparum (commonest, responsible for most deaths and morbidity in Ghana)', 'Plasmodium malariae', 'Plasmodium ovale'], 'Investigations': ['Microscopy - thick and thin blood films for malaria parasites', 'Rapid Diagnostic Test (RDT)', 'FBC', 'Widal test (exclude typhoid fever)', 'Other tests as indicated'], 'Treatment': {'Objectives': ['Avoid progression to severe malaria', 'Limit duration of illness', 'Minimize development of drug-resistant parasites'], 'NonPharmacological': {'Tepid_Sponging': 'In children, tepid sponging to reduce body temperature'}, 'Pharmacological': {'1st_Line_Treatment': {'Artesunate_Amodiaquine': 'Artesunate + Amodiaquine, oral', 'Artemether_Lumefantrine': 'Artemether + Lumefantrine, oral', 'Dihydroartemisinin_Piperaquine': 'Dihydroartemisinin + Piperaquine, oral'}}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 45-year-old female patient arrives at the clinician's office with a three-day history of high-grade fever, altered mental status, and jaundice. She also complains of severe headache, vomiting, and widespread body pain. The clinician observes icteric sclera, and laboratory tests show thrombocytopenia, hemoglobinuria, and elevated serum bilirubin levels. The patient's temperature is 40.2°C, and she has altered consciousness. The patient presents with extreme pallor, marked jaundice, and circulatory collapse with cold limbs and a weak rapid pulse. She also exhibits tachypnea, and chest examination reveals crepitus. Additionally, the patient experiences sweating due to hypoglycemia, hemoglobinuria with dark urine, and oliguria. ","{'Causes': 'Severe Malaria', 'Investigations': ['Rapid diagnostic test', 'Blood film for malaria parasites - thick and thin blood films', 'FBC', 'Sickling test', 'Random blood glucose', 'BUE and creatinine', 'Blood grouping and cross-matching', 'Lumbar puncture in convulsing or comatose patients'], 'Treatment': {'Objectives': ['Rapid clearance of parasitemia', 'Urgent treatment for life-threatening complications or conditions', 'Appropriate supportive care'], 'NonPharmacological': {'Positioning': 'Place unconscious or seizing patients in a safe position to prevent aspiration'}, 'Pharmacological': {'PreReferral_Treatment': {'Artesunate_IM': {'Adults_Children_>_20_kg': '2.4 mg/kg', 'Children_<_20_kg': '3 mg/kg'}, 'Artemether_IM': '3.2 mg/kg', 'Quinine_IM': '10 mg/kg', 'Artesunate_Rectal': '10 mg/kg (preferred in children under 6 years)'}}}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Rigors, fever (occasionally periodic), sweating, general malaise, joint pains","{'Diagnosis': 'Malaria', 'Action': 'Take a blood film or perform rapid diagnostic test for malaria parasites and treat appropriately', 'Treatment': {'Objectives': ['Avoid progression to severe malaria', 'Limit duration of illness', 'Minimize development of drug-resistant parasites'], 'NonPharmacological': {'Tepid_Sponging': 'In children, tepid sponging to reduce body temperature'}, 'Pharmacological': {'1st_Line_Treatment': {'Artesunate_Amodiaquine': 'Artesunate + Amodiaquine, oral', 'Artemether_Lumefantrine': 'Artemether + Lumefantrine, oral', 'Dihydroartemisinin_Piperaquine': 'Dihydroartemisinin + Piperaquine, oral'}}}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Rigors, fever, sweating, general malaise, altered sensorium","{'Diagnosis': 'Cerebral Malaria', 'Action': 'Take a blood film or perform rapid diagnostic test for malaria parasites and treat appropriately', 'Treatment': {'Objectives': ['Rapid clearance of parasitemia', 'Urgent treatment for life-threatening complications or conditions', 'Appropriate supportive care'], 'NonPharmacological': {'Positioning': 'Place unconscious or seizing patients in a safe position to prevent aspiration'}, 'Pharmacological': {'PreReferral_Treatment': {'Artesunate_IM': {'Adults_Children_>_20_kg': '2.4 mg/kg', 'Children_<_20_kg': '3 mg/kg'}, 'Artemether_IM': '3.2 mg/kg', 'Quinine_IM': '10 mg/kg', 'Artesunate_Rectal': '10 mg/kg (preferred in children under 6 years)'}}}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Cough, brown sputum, rapid breathing, pain on deep breathing","{'Diagnosis': 'Pneumonia', 'Treatment': {'Objectives': ['Identify high-risk patients requiring hospitalization', 'Alleviate symptoms', 'Treat and eradicate infection', 'Prevent and manage complications'], 'Non-Pharmacological Treatment': ['Comfortable positioning with head raised', 'Sponging to control fever (children < 5 years)', 'Adequate oral hydration', 'Chest physiotherapy'], 'Pharmacological Treatment': {'Ambulatory Patient (low severity score < 2)': {'1st Line Treatment': ['Amoxicillin (Amoxycillin)', 'Azithromycin', 'Erythromycin (if allergic to penicillin)'], '2nd Line Treatment': ['Cefuroxime', 'Doxycycline'], 'Referral Criteria': 'Refer if no improvement in 3 days or with complications'}, 'Hospitalized Patient (Severity score or additional factors)': {'Oxygen': 'Maintain oxygen saturation > 92%', 'IV Fluids': 'Normal saline and dextrose saline', 'Paracetamol': ['Oral', 'Suppository'], 'Amoxicillin + Clavulanic Acid, IV': 'Change to oral route when patient improves', 'Azithromycin, IV': ['500 mg daily for 3 days', 'Revert to oral azithromycin when clinically stable'], '2nd Line Treatment': ['Ceftriaxone', 'Azithromycin, IV'], 'Aspiration Pneumonia': {'1st Line Treatment': ['Ceftriaxone', 'Amoxicillin + Clavulanic Acid, IV'], '2nd Line Treatment': ['Ciprofloxacin, IV', 'Metronidazole, IV', 'Clindamycin, IV']}}}}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Increased frequency of urination and/or painful micturition, loin pain","{'Diagnosis': 'Urinary tract infection', 'Action': 'Do urine examination plus culture and sensitivity; Give appropriate antibiotic', 'Treatment': {'Objectives': ['To relieve symptoms such as fever and pain', 'To eradicate causative agent', 'To prevent complications', 'To identify patients with abnormalities of the genito-urinary tract'], 'Non-Pharmacological': ['Maintain adequate oral fluid intake', 'Maintain adequate nutrition', 'Place naso-gastric tube when needed', 'Surgical intervention in suspected intestinal obstruction, peritonitis'], 'Pharmacological': {'Pre-operative treatment': ['Vincristine, IV', 'Actinomycin D, IV', 'Doxorubicin, IV (if presence of metastases)'], 'Post-operative treatment': ['Vincristine, IV', 'Actinomycin D, IV', 'Doxorubicin, IV (depending on stage and risk category)', 'Carboplatin, IV', 'Etoposide, IV', 'Doxorubicin, IV', 'Cyclophosphamide IV in combination (For high risk tumours)'], 'For treatment of vomiting': ['Metoclopramide, IV or oral', 'Granisetron, IV/oral', 'Ondansetron, IV/oral', 'Dexamethasone, oral/IV', 'Lorazepam, oral/IV'], 'For treatment of febrile neutropenia': ['Ceftriaxone, IV', 'Gentamicin, IV', 'Cloxacillin, IV', 'Fluconazole, oral'], 'For treatment of anaemia and thrombocytopenia': ['Blood and blood product transfusions']}}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Fever, constipation or diarrhoea (may be with blood), headache, abdominal pain, general malaise","{'Diagnosis': 'Typhoid', 'Treatment': {'Objectives': ['Eradicate the infection', 'Detect and manage complications', 'Prevent transmission of infection to other people'], 'NonPharmacological': {'Tepid_Sponging': 'Tepid sponging to reduce body temperature if required'}, 'Pharmacological': {'1st_Line_Treatment': {'Ciprofloxacin_Oral': 'Ciprofloxacin, oral, Adults 500 mg 12 hourly for 10-14 days, Children 10 mg/kg 12 hourly for 10-14 days', 'Ciprofloxacin_IV': 'Ciprofloxacin, IV, Adults 400 mg 8-12 hourly for 10-14 days, Children 10 mg/kg (max. 400 mg) 12 hourly for 10-14 days', 'Note': 'Ciprofloxacin should be used with caution in children. Alternative treatment should be started in case of tendinitis.'}, '2nd_Line_Treatment': {'Ceftriaxone_IV': 'Ceftriaxone, IV, Adults 2-4 g daily for 7-10 days, Children 100 mg/kg daily for 7-10 days', 'Azithromycin_Oral': 'Azithromycin, oral, Adults 500 mg daily for 7 days, Children 10-20 mg/kg for 7 days'}}, 'Referral_Criteria': 'Refer very ill patients and those with complications to the appropriate specialist. Healthy carriers should also be referred for specialist management.'}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Fever in a child with cough, sore throat and red ear drums","{'Diagnosis': 'Otitis media', 'Treatment': {'evidence_rating': '[B]', 'treatment': [{'medication': 'Amoxicillin, oral', 'administration': 'Adults', 'dose': '500 mg 8 hourly for 10 days'}, {'medication': 'Amoxicillin, oral', 'administration': 'Children', '6-12 years': '250 mg 8 hourly for 10 days', '1-5 years': '125 mg 8 hourly for 10 days', '< 1 year': '62.5 mg 8 hourly for 10 days'}]}}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Headache, body ache, runny nose, sneezing","{'Diagnosis': 'Common cold or influenza', 'Action': 'Give Paracetamol if required', 'Investigations': ['No investigations required'], 'Treatment': {'Objectives': ['Relieve symptoms', 'Resolve infection as quickly as possible'], 'NonPharmacological': {'Rest': 'Encourage rest', 'Fluid_Intake': 'Encourage adequate fluid intake', 'Gargle': 'Gargle lukewarm salt solution', 'Steam_Inhalation': 'Steam inhalation'}, 'Pharmacological': {'Uncomplicated_Common_Cold': {'Paracetamol': {'Adults': '500-1g 6-8 hourly', 'Children': {'10-15 kg/dose': '6-8 hourly', '6-12 years': '250-500 mg 6-8 hourly', '1-5 years': '120-250 mg 6-8 hourly', '3 months-1 year': '60-120 mg 6-8 hourly'}}, 'Sodium_Chloride_Nasal_Drops': '2 drops, into each nostril, 4 hourly as needed', 'Xylometazoline_Nasal': {'Adults': '(0.1% preparation) 1-2 drops 12 hourly into each nostril', 'Children': {'0.05% preparation': '> 3 months; 1-2 drops 12 hourly into each nostril'}}, 'Cetirizine_Oral': {'Adults': '10 mg daily', 'Children': {'> 12 years': '10 mg daily', '6-12 years': '5 mg daily', '2-6 years': '2.5 mg daily'}}, 'Chlorpheniramine_Maleate_Oral': {'Adult': '4 mg 12 hourly', 'Children': {'6-12 years': '2 mg 6-12 hourly daily (max. 12 mg daily)', '2-6 years': '1 mg 6-8 hourly (max. 6 mg daily)'}}}}}, 'Referral_Criteria': 'Refer cases suspected to have measles, influenza, or complications to a pediatrician or physician for management'}"
"As a medical copilot, please generate a short intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.",Sore throat or pain on swallowing,"{'Diagnosis': 'Tonsillitis and pharyngitis', 'Action': 'Manage as appropriate', 'Causes': ['Viruses', 'Heamolytic streptococcus', 'Haemophilus influenza', 'Other gram positive bacteria'], 'Investigations': ['FBC', 'Monospot test', 'Throat swab for culture and sensitivity'], 'Treatment': {'Objectives': ['Relieve symptoms', 'Recognize and treat streptococcal throat infection', 'Relieve pain'], 'NonPharmacological': {'Warm_Gargles': 'Warm, salty water gargles'}, 'Pharmacological': {'Pain_Relief': {'Paracetamol': {'Adults': '500 mg-1 g 6-8 hourly', 'Children': {'6-12 years': '250-500 mg 6-8 hourly', '1-5 years': '120-250 mg 6-8 hourly', '3 months-1 year': '60-120 mg 6-8 hourly'}}, 'Ibuprofen': {'Adults': '200-400 mg 8 hourly', 'Children': {'7-12 years': '7.5-10 mg/kg 6-8 hourly (max. 30 mg/kg or 600 mg per day)', '4-7 years': '7.5-10 mg/kg 8 hourly (max. 30 mg/kg or 450 mg per day)'}}}, 'Treating_Infection': {'Amoxicillin': {'Adults': '500 mg 8 hourly for 10 days', 'Children': {'6-12 years': '250 mg 8 hourly for 10 days', '1-5 years': '125 mg 8 hourly for 10 days', '< 1 year': '62.5 mg 8 hourly for 10 days'}}, 'Amoxicillin + Clavulanic Acid': {'Adults': '1 gram 12 hourly for 10 days', 'Children': {'> 12 years': 'One 500/125 mg strength tablet, 12 hourly for 10 days', '6-12 years': '5 ml of 400/57 mg suspension 12 hourly (5 ml of 250/62 mg suspension 8 hourly for 10 days; dose doubled in severe infection)'}}}}, 'Referral_Criteria': 'Refer patients with recurrent tonsillitis, retropharyngeal and peritonsillar abscess to an ENT specialist'}}"
